Piece Title,Artist Gender,Artist of Color,Figure of Color,"If yes, only figures of color?",Subject Gender,Plaque Description
Abby Aldrich Rockefeller,Man,No,No,,Woman,None
Baby in Red Chair,Unknown,,No,,Man,None
Charleston Square,Man,No,Yes,No,Both,"Charles Hamilton recorded in considerable detail a variety of activities associated with mercantile enterprises in Charleston during the 1870s.
Descriptive elements abound and give the viewer some idea of the lively street life in Charleston's downtown area."
The Bountiful Board,Unknown,,,,,None
Helen M Eddy,Man,No,No,,Woman,"After being seriously injured in an accident as an 11-year-old boy, Joseph Stock was encouraged to study art. With help from his family and a specially designed wheelchair, Stock traveled widely and developed a successful career as a portraitist. Appealing portraits of children were among his specialties."
Washington Crossing the Delaware,Man,No,No,,Man,"Hicks painted several versions of George Washington's famous winter journey across the Delaware River. Two of the earliest were signboards commissioned for both sides of the bridge at the site of Washington's original crossing. Hicks admired the general's leadership and wrote about the significance of his role in the War for Independence.
According to the inscription in the lower left, Hicks produced this painting for Newtown physician and dentist Maurice P. Linton, the son of a friend and fellow soldier.
""Painted by Edw. Hicks in the 69th year of his age/for Doctor M. Linton of Newtown, son of his/old Friend & fellow Soldier, James Linton.""
It likely was painted as payment for a medical bill.
"
Declaration of Independence,Man,No,No,,Man,"In this famous scene, Hicks painted most of the Declaration of Independence signers with similar and stylized faces. However, he attempted to individualize the more important members of the drafting committee, including Thomas Jefferson and Benjamin Franklin, who stand at the table.
Hicks presented this picture to his son, Isaac Worstall Hicks, and it remained in his family for two generations."
Penn's Treaty with the Indians,Man,No,Yes,No,Man,"One of Hicks's favorite subjects was the 1682 meeting between prominent Quaker William Penn and the Lenni-Lenape Indians.
This event was significant for Pennsylvania Quakers because it represented Penn's dream of a peaceful society free of religious persecution.
Hicks created more than a dozen versions of this scene and often included it in the background of his Peaceable Kingdom paintings. He varied the details and arrangements, but elements such as the large tree, boats on the river, and background buildings are present in each painting.
"
Falls of Niagara,Man,No,,,,"In his role as a minister, Hicks devoted long periods of time to travel, often at great distance. In 1819-1820, he journeyed to New York and lower Canada where he attended several dozen
Quaker meetings. During this trip, Hicks visited Niagara Falls, a site he regarded as an inspiration of God's handiwork. He later featured the natural wonder in some of his paintings.
This fireboard, a painting on wood used to hide the empty fireplace during summer, was created for Dr. Joseph Parrish of Philadelphia, likely in appreciation for services the physician provided for free.
"
The Residence of David Twining,Man,No,Yes,No,Both,"At an early age, Hicks was sent by his father to live with family friends, David and Elizabeth Twining. The local Quaker couple raised Edward along with their four daughters. For the rest of his life, Hicks recalled the comfort, love, and security he experienced in the Twining household. Almost 60 years later, he painted a memory that depicts himself as a young boy, standing at his foster mother's knee.
Hicks completed four versions of this scene, most likely giving a canvas to each of the Twining daughters, Sarah, Elizabeth, Mary, and Beulah.
"
Leedom Farm,Man,No,No,,Both,"Over the years Hicks completed nearly 130 paintings depicting farm scenes, historical and religious subjects, and patriotic images. This is the last painting created before his death and is arguably his finest work. It is the summation of its predecessors, combining the artist's remarkable skill, his love of family and friends, and his innate Quaker values for order, simplicity, and man's good works on earth. In short, this painting is a highly personal statement about the serenity Hicks fervently desired for humanity, and for his step-brother and friend, David Leedom, who commissioned the work."
Portrait of Edward Hicks,Man,No,No,,Man,"This portrait of America's most beloved folk artist was rendered by the subject's cousin, Thomas Hicks. He captured the older painter in a familiar pose, the composition showing him in the process of creating a version of his favorite subject, the Peaceable Kingdom.
Thomas painted the canvas while he was an apprentice in his cousin's sign and carriage painting shop. The younger man executed a number of portraits during this time. In 1839, he left to study art in Philadelphia, ultimately becoming a well-respected and skilled portraitist and landscape painter."
James Cornell's Prize Bull,Man,No,,,,"Edward Hicks painted the creatures in this portrait of James
C. Cornell's prize bull with more finesse and sophistication than the flat, linear, and stylized animals seen in his most well-known works, dispelling any notion of his inability to paint academically.
Hicks's acceptance of this commission and subsequent payment by the bull's owner was unusual, suggesting that the artist may have reconciled his life-long struggle between his vocation as a painter and his religious faith, which denounced pictorial art."
Peaceable Kingdom of the Branch,Man,No,No,,Man,"Hicks created more than 60 variations of the Peaceable Kingdom. A group of his early works features a painted border inscribed with the biblical passage from Isaiah 11:6-9. The verse was the foundation of all Hicks's Peaceable Kingdom paintings, and he used the religious message to convey his concerns about contemporary affairs within the Society of Friends."
Peaceable Kingdom,Man,No,Yes,No,Man,"As Hicks continued to paint new versions of the Peaceable Kingdom, he began adding a background scene of Quaker William Penn and the local Pennsylvania Indians. Hicks admired Penn for his good relationship with the Lenni-Lenape and considered the Quaker's fair and honest communications a fulfillment of God's peaceable kingdom on earth.
Hicks used his training as a sign, coach, and decorative painter to create the lettering and decorative corner blocks in the border of this painting. More than a dozen versions of these paintings include these skillful designs."
Peaceable Kingdom (1832-1834),Man,No,Yes,No,Man,"During the early 1830s, Hicks began rearranging the figures in his Peaceable Kingdom paintings to reflect his anguish over the 1827 division of the Society of Friends into the two Hicksite and Orthodox factions. He no longer wholly relied on printed sources for his compositions; instead Hicks's canvases evolved into personal statements that became entirely his own in concept and design.
Hicks removed symbols such as the grapevine that were associated with Holy Communion and Orthodox Quakerism.
He replaced them with sheaves of wheat and ears of corn that better represented fellow Hicksite Quaker beliefs of salvation through the ""light within."""
Peaceable Kingdom (1844),Man,No,Yes,No,Man,"During the 1840s, Hicks altered his compositions again to include more animals in a variety of arrangements. The two leopards in this painting - one submissive and the other aggressive - likely represent his acknowledgment of the difficulty of attaining peace between the two Quaker factions. Leopards also symbolized a
love of excitement that conflicted with Quaker codes of simplicity, restraint, and plainness, again illustrating discord and strife among Friends members.
Joseph Watson, a fellow Hicksite Quaker from nearby Langhorne, Pennsylvania, commissioned this painting. Hicks gifted the majority of his Peaceable Kingdom paintings to Quakers who shared his religious views."
The Steamboat Enoch Dean,Man,No,No,,Man,"An example of a side-wheeler steamboat, the Enoch Dean was built by Benjamin C. Terry of Keyport New Jersey, in 1852. That same year the steamboat was painted by the prolific ship painter James Bard. Prior to the Civil War, the Enoch Dean ran from New York City on the East River to Flushing and College Point on Long Island. Bard's placement of the steamboat between a threatening sky and stylized waves serves as a reminder of the time when America's rivers were her great highways.
he Enoch Dean was employed by the Union during the Civil War as a cargo ship. A notice appeared in the New York Herald on May 6th of 1865 which described her final voyage.
""Steamer Enoch Dean, Hallett, from Savannah 19th ult., for the islands lying [south] of Savannah, with freedmen and their families, farming utensils, etc., while passing through a creek emptying into St. Catherine's Sound, struck a snag and sunk."""
The Schooner William Bayles,Man,No,No,,Man,"James Bard and his twin brother, John, rank among America's most acclaimed painters of steamboats and small sailing vessels. Although the brothers collaborated on about two dozen pictures, most Bard works are signed or attributed to James alone. James is known to have completed three portraits of the schooner William Bayles, two in 1854 and another in
1860. The commissioners of all three paintings remain unknown but both 1854 versions bear the sail maker's name on the mainsails.
he William Bayles was a 67 ton schooner built in  Nyack, New York in 1853 by John B. Voriz
Although the schooner changed owners, masters and home ports several times throughout her life, it is thought that one of her first contracts was hauling stone from a Tarrytown quarry to New York City. The William Bayles operated out of the port of New York until 1862, after which she is listed as serving out of various ports in Connecticut, New Hampshire and finally Massachusetts, from whence she was reported
""lost at sea"" in March of 1874."
